20240401,170000.232,151.702,151.699
20240401,170000.334,151.703,151.699
20240401,170001.043,151.701,151.699
20240401,170001.247,151.701,151.697
20240401,170001.855,151.699,151.695
20240401,170003.273,151.7,151.695
20240401,170006.051,151.699,151.695
20240401,170007.165,151.697,151.695
20240401,170007.217,151.697,151.693
20240401,170007.269,151.695,151.69
20240401,170007.320,151.695,151.69
20240401,170007.778,151.694,151.689
20240401,170008.135,151.693,151.689
20240401,170008.238,151.692,151.688
20240401,170008.341,151.692,151.686
20240401,170008.899,151.692,151.687
20240401,170009.308,151.691,151.687
20240401,170009.510,151.692,151.687
20240401,170009.714,151.693,151.689
20240401,170009.817,151.694,151.69
20240401,170009.920,151.693,151.688
20240401,170010.425,151.693,151.69
20240401,170010.629,151.698,151.694
20240401,170010.681,151.699,151.694
20240401,170010.783,151.7,151.695

