INFO: GapDown;new trade; tradeCount:0;tradeId:736;timeStamp:2024-02-01 22:32:39;t_cur:868.628;h_cur:0.142;h1:0.016;price:146.355:146.351;takeProfit:146.419;stopLoss:146.339;killTime:651.471
takeProfit change:0.00103125;killTime change:8.41101
takeProfit change:0.00099375;killTime change:8.10516
takeProfit change:0.00095625;killTime change:7.7993
takeProfit change:0.000375;killTime change:3.05855
takeProfit change:0.0006375;killTime change:5.19953
takeProfit change:0.00091875;killTime change:7.49345
takeProfit change:0.0010125;killTime change:8.25808
takeProfit change:0.0010875;killTime change:8.86979
takeProfit change:0.000825;killTime change:6.72881
takeProfit change:0.00035625;killTime change:2.90562
takeProfit change:0.0008625;killTime change:7.03466
takeProfit change:0.0008625;killTime change:7.03466
takeProfit change:0.000975;killTime change:7.95223
INFO: GapDown;TAKEPROFIT;tradeId:737;parenttradeId:736;timeStamp:2024-02-01 22:33:01;price:146.432;killTime:740.322;profit loss for trades:525.841
INFO: GapDown;new trade; tradeCount:1;tradeId:738;timeStamp:2024-02-02 19:45:54;t_cur:10148.4;h_cur:0.309;h1:0.034;price:148.29:148.286;takeProfit:148.43;stopLoss:148.256;killTime:900
takeProfit change:0.00174375;killTime change:9.02913
takeProfit change:0.00151875;killTime change:7.86408
takeProfit change:0.0016125;killTime change:8.34951
takeProfit change:0.0003375;killTime change:1.74757
takeProfit change:0.0003;killTime change:1.5534
takeProfit change:0.00043125;killTime change:2.23301
takeProfit change:0.00035625;killTime change:1.84466
takeProfit change:0.00031875;killTime change:1.65049
takeProfit change:0.00035625;killTime change:1.84466
takeProfit change:0.0003375;killTime change:1.74757
takeProfit change:0.0003;killTime change:1.5534
takeProfit change:0.00031875;killTime change:1.65049
takeProfit change:0.00035625;killTime change:1.84466
takeProfit change:0.00031875;killTime change:1.65049
takeProfit change:0.0003;killTime change:1.5534
stopLoss change:0.00031875;killTime change:-1.65049
stopLoss change:0.00039375;killTime change:-2.03883
stopLoss change:0.00046875;killTime change:-2.42718
stopLoss change:0.00031875;killTime change:-1.65049
stopLoss change:0.0003375;killTime change:-1.74757
stopLoss change:0.00031875;killTime change:-1.65049
takeProfit change:0.00031875;killTime change:1.65049
stopLoss change:0.0006;killTime change:-3.1068
stopLoss change:0.00069375;killTime change:-3.59223
stopLoss change:0.0007125;killTime change:-3.68932
stopLoss change:0.0006375;killTime change:-3.30097
takeProfit change:0.0003;killTime change:1.5534
stopLoss change:0.0003375;killTime change:-1.74757
stopLoss change:0.00039375;killTime change:-2.03883
takeProfit change:0.00031875;killTime change:1.65049
takeProfit change:0.00039375;killTime change:2.03883
takeProfit change:0.00035625;killTime change:1.84466
takeProfit change:0.00035625;killTime change:1.84466
INFO: GapDown;KILL;tradeId:739;parenttradeId:738;timeStamp:2024-02-02 20:01:23;price:148.314;killTime:928.058;profit loss for trades:165.19
INFO: GapDown;new trade; tradeCount:2;tradeId:740;timeStamp:2024-02-05 02:29:47;t_cur:4841.4;h_cur:0.1015;h1:0.0155;price:148.496:148.492;takeProfit:148.538;stopLoss:148.481;killTime:900
takeProfit change:0.00061875;killTime change:9.75369
takeProfit change:0.0004125;killTime change:6.50246
takeProfit change:0.00031875;killTime change:5.02463
INFO: GapDown;STOPLOSS;tradeId:741;parenttradeId:740;timeStamp:2024-02-05 02:29:57;price:148.481;killTime:921.281;profit loss for trades:-104.391
INFO: GapDown;new trade; tradeCount:3;tradeId:742;timeStamp:2024-02-05 06:36:25;t_cur:13689.8;h_cur:0.1055;h1:0.0135;price:148.405:148.4;takeProfit:148.45;stopLoss:148.391;killTime:900
takeProfit change:0.0009;killTime change:13.6493
takeProfit change:0.00084375;killTime change:12.7962
takeProfit change:0.0006;killTime change:9.09953
stopLoss change:0.0003;killTime change:-4.54976
INFO: GapDown;STOPLOSS;tradeId:743;parenttradeId:742;timeStamp:2024-02-05 06:36:29;price:148.391;killTime:930.995;profit loss for trades:-90.9759
INFO: GapDown;new trade; tradeCount:4;tradeId:744;timeStamp:2024-02-05 22:24:23;t_cur:21992.7;h_cur:0.142;h1:0.021;price:148.718:148.714;takeProfit:148.777;stopLoss:148.697;killTime:900
takeProfit change:0.00065625;killTime change:7.39437
takeProfit change:0.0009;killTime change:10.1408
takeProfit change:0.00114375;killTime change:12.8873
takeProfit change:0.0007875;killTime change:8.87324
takeProfit change:0.000975;killTime change:10.9859
takeProfit change:0.00061875;killTime change:6.97183
stopLoss change:0.000375;killTime change:-4.22535
stopLoss change:0.0007125;killTime change:-8.02817
stopLoss change:0.00054375;killTime change:-6.12676
stopLoss change:0.00039375;killTime change:-4.43662
stopLoss change:0.0003375;killTime change:-3.80282
takeProfit change:0.00091875;killTime change:10.3521
takeProfit change:0.0010125;killTime change:11.4085
takeProfit change:0.0007875;killTime change:8.87324
takeProfit change:0.000825;killTime change:9.29577
takeProfit change:0.00035625;killTime change:4.01408
stopLoss change:0.0006375;killTime change:-7.1831
stopLoss change:0.000525;killTime change:-5.91549
stopLoss change:0.00043125;killTime change:-4.85915
stopLoss change:0.000375;killTime change:-4.22535
stopLoss change:0.0003375;killTime change:-3.80282
stopLoss change:0.00039375;killTime change:-4.43662
stopLoss change:0.00045;killTime change:-5.07042
stopLoss change:0.00043125;killTime change:-4.85915
takeProfit change:0.00105;killTime change:11.831
takeProfit change:0.0022125;killTime change:24.9296
takeProfit change:0.00178125;killTime change:20.0704
takeProfit change:0.0015;killTime change:16.9014
takeProfit change:0.0004875;killTime change:5.49296
stopLoss change:0.0003375;killTime change:-3.80282
takeProfit change:0.0003375;killTime change:3.80282
takeProfit change:0.00046875;killTime change:5.28169
takeProfit change:0.0007125;killTime change:8.02817
takeProfit change:0.00061875;killTime change:6.97183
takeProfit change:0.00058125;killTime change:6.5493
stopLoss change:0.00031875;killTime change:-3.59155
stopLoss change:0.000525;killTime change:-5.91549
stopLoss change:0.00076875;killTime change:-8.66197
stopLoss change:0.00061875;killTime change:-6.97183
stopLoss change:0.00103125;killTime change:-11.6197
stopLoss change:0.00105;killTime change:-11.831
stopLoss change:0.0013125;killTime change:-14.7887
stopLoss change:0.00118125;killTime change:-13.3099
stopLoss change:0.00076875;killTime change:-8.66197
stopLoss change:0.0004875;killTime change:-5.49296
stopLoss change:0.00045;killTime change:-5.07042
INFO: GapDown;STOPLOSS;tradeId:745;parenttradeId:744;timeStamp:2024-02-05 22:25:57;price:148.708;killTime:944.366;profit loss for trades:-67.2459
