takeProfit change:0.00335;killTime change:8.26318
INFO: GapDown;TAKEPROFIT;tradeId:881;parenttradeId:880;timeStamp:2024-02-07 15:34:45;price:147.951;killTime:145.444;profit loss for trades:219.667
INFO: GapDown;new trade; tradeCount:6;tradeId:882;timeStamp:2024-02-08 10:36:50;t_cur:174.569;h_cur:0.107;h1:0.012;price:148.877;takeProfit:148.918;stopLoss:148.865;killTime:122.198
takeProfit change:0.00085;killTime change:1.98109
takeProfit change:0.000525;killTime change:1.22361
takeProfit change:0.0007;killTime change:1.63149
takeProfit change:0.000725;killTime change:1.68975
takeProfit change:0.000625;killTime change:1.45668
takeProfit change:0.0004;killTime change:0.932278
takeProfit change:0.000825;killTime change:1.92282
takeProfit change:0.00065;killTime change:1.51495
takeProfit change:0.000625;killTime change:1.45668
takeProfit change:0.00065;killTime change:1.51495
takeProfit change:0.000675;killTime change:1.57322
takeProfit change:0.00065;killTime change:1.51495
takeProfit change:0.0006;killTime change:1.39842
takeProfit change:0.000475;killTime change:1.10708
takeProfit change:0.00045;killTime change:1.04881
stopLoss change:0.000725;killTime change:-1.68975
stopLoss change:0.00095;killTime change:-2.21416
stopLoss change:0.00095;killTime change:-2.21416
stopLoss change:0.0009;killTime change:-2.09762
stopLoss change:0.000525;killTime change:-1.22361
takeProfit change:0.000425;killTime change:0.990545
takeProfit change:0.00065;killTime change:1.51495
takeProfit change:0.000775;killTime change:1.80629
takeProfit change:0.0009;killTime change:2.09762
takeProfit change:0.000475;killTime change:1.10708
takeProfit change:0.0004;killTime change:0.932278
takeProfit change:0.0004;killTime change:0.932278
stopLoss change:0.00045;killTime change:-1.04881
stopLoss change:0.00055;killTime change:-1.28188
stopLoss change:0.000425;killTime change:-0.990545
takeProfit change:0.0006;killTime change:1.39842
takeProfit change:0.000775;killTime change:1.80629
takeProfit change:0.000625;killTime change:1.45668
stopLoss change:0.000425;killTime change:-0.990545
stopLoss change:0.000575;killTime change:-1.34015
stopLoss change:0.000575;killTime change:-1.34015
stopLoss change:0.0004;killTime change:-0.932278
takeProfit change:0.00055;killTime change:1.28188
takeProfit change:0.0006;killTime change:1.39842
takeProfit change:0.0006;killTime change:1.39842
stopLoss change:0.0004;killTime change:-0.932278
stopLoss change:0.000425;killTime change:-0.990545
takeProfit change:0.00055;killTime change:1.28188
takeProfit change:0.000725;killTime change:1.68975
takeProfit change:0.00085;killTime change:1.98109
takeProfit change:0.0005;killTime change:1.16535
takeProfit change:0.000425;killTime change:0.990545
stopLoss change:0.000425;killTime change:-0.990545
stopLoss change:0.000425;killTime change:-0.990545
stopLoss change:0.000625;killTime change:-1.45668
stopLoss change:0.00055;killTime change:-1.28188
takeProfit change:0.0005;killTime change:1.16535
takeProfit change:0.000425;killTime change:0.990545
stopLoss change:0.00055;killTime change:-1.28188
takeProfit change:0.0004;killTime change:0.932278
stopLoss change:0.0004;killTime change:-0.932278
takeProfit change:0.0004;killTime change:0.932278
stopLoss change:0.0006;killTime change:-1.39842
stopLoss change:0.00085;killTime change:-1.98109
stopLoss change:0.000975;killTime change:-2.27243
stopLoss change:0.000925;killTime change:-2.15589
stopLoss change:0.000425;killTime change:-0.990545
takeProfit change:0.00045;killTime change:1.04881
takeProfit change:0.00055;killTime change:1.28188
takeProfit change:0.0006;killTime change:1.39842
takeProfit change:0.000675;killTime change:1.57322
takeProfit change:0.00055;killTime change:1.28188
takeProfit change:0.000425;killTime change:0.990545
stopLoss change:0.00045;killTime change:-1.04881
INFO: GapDown;KILL;tradeId:883;parenttradeId:882;timeStamp:2024-02-08 10:39:15;price:148.924;killTime:144.923;profit loss for trades:312.24
INFO: GapDown;new trade; tradeCount:7;tradeId:884;timeStamp:2024-02-08 13:19:10;t_cur:1424.13;h_cur:0.119;h1:0.018;price:149.182;takeProfit:149.222;stopLoss:149.163;killTime:900
takeProfit change:0.0009;killTime change:13.8913
takeProfit change:0.000975;killTime change:15.0489
takeProfit change:0.00095;killTime change:14.663
takeProfit change:0.000525;killTime change:8.10324
takeProfit change:0.000525;killTime change:8.10324
takeProfit change:0.0006;killTime change:9.26085
takeProfit change:0.0004;killTime change:6.1739
stopLoss change:0.0004;killTime change:-6.1739
takeProfit change:0.0004;killTime change:6.1739
takeProfit change:0.00055;killTime change:8.48911
takeProfit change:0.000475;killTime change:7.3315
takeProfit change:0.000475;killTime change:7.3315
takeProfit change:0.0005;killTime change:7.71737
stopLoss change:0.000475;killTime change:-7.3315
stopLoss change:0.000625;killTime change:-9.64672
stopLoss change:0.00065;killTime change:-10.0326
stopLoss change:0.0006;killTime change:-9.26085
stopLoss change:0.000475;killTime change:-7.3315
stopLoss change:0.0005;killTime change:-7.71737
stopLoss change:0.0004;killTime change:-6.1739
stopLoss change:0.000425;killTime change:-6.55977
stopLoss change:0.0005;killTime change:-7.71737
stopLoss change:0.00065;killTime change:-10.0326
stopLoss change:0.000425;killTime change:-6.55977
stopLoss change:0.0004;killTime change:-6.1739
stopLoss change:0.00045;killTime change:-6.94564
stopLoss change:0.000425;killTime change:-6.55977
stopLoss change:0.0005;killTime change:-7.71737
INFO: GapDown;STOPLOSS;tradeId:885;parenttradeId:884;timeStamp:2024-02-08 13:20:53;price:149.171;killTime:890.353;profit loss for trades:-73.7411
INFO: GapDown;new trade; tradeCount:8;tradeId:886;timeStamp:2024-02-08 22:43:00;t_cur:8353.41;h_cur:0.114;h1:0.0135;price:149.292;takeProfit:149.334;stopLoss:149.279;killTime:900
takeProfit change:0.000775;killTime change:12.4866
takeProfit change:0.000625;killTime change:10.0698
takeProfit change:0.000625;killTime change:10.0698
takeProfit change:0.0005;killTime change:8.05585
stopLoss change:0.000475;killTime change:-7.65306
stopLoss change:0.00125;killTime change:-20.1396
INFO: GapDown;STOPLOSS;tradeId:887;parenttradeId:886;timeStamp:2024-02-08 22:45:11;price:149.27;killTime:912.889;profit loss for trades:-147.384
INFO: GapDown;new trade; tradeCount:9;tradeId:888;timeStamp:2024-02-11 23:02:19;t_cur:138.619;h_cur:0.1995;h1:0.02;price:149.118;takeProfit:149.196;stopLoss:149.098;killTime:97.0333
takeProfit change:0.00135;killTime change:1.34003
takeProfit change:0.00105;killTime change:1.04225
takeProfit change:0.0007;killTime change:0.694832
takeProfit change:0.000525;killTime change:0.521124
takeProfit change:0.00055;killTime change:0.545939
takeProfit change:0.00115;killTime change:1.14151
takeProfit change:0.001325;killTime change:1.31522
takeProfit change:0.00155;killTime change:1.53856
takeProfit change:0.0011;killTime change:1.09188
stopLoss change:0.000525;killTime change:-0.521124
stopLoss change:0.0007;killTime change:-0.694832
stopLoss change:0.00045;killTime change:-0.446678
takeProfit change:0.000475;killTime change:0.471493
takeProfit change:0.000475;killTime change:0.471493
INFO: GapDown;KILL;tradeId:889;parenttradeId:888;timeStamp:2024-02-11 23:04:05;price:149.179;killTime:105.545;profit loss for trades:412.255
INFO: skipping trade as not much expected profit is left;h_cur:0.321;h1:0.5245
INFO: GapDown;new trade; tradeCount:10;tradeId:890;timeStamp:2024-02-13 13:30:46;t_cur:6.772;h_cur:0.1335;h1:0.011;price:149.8;takeProfit:149.854;stopLoss:149.788;killTime:4.7404
takeProfit change:0.001275;killTime change:0.0923949
takeProfit change:0.00105;killTime change:0.0760899
INFO: GapDown;STOPLOSS;tradeId:891;parenttradeId:890;timeStamp:2024-02-13 13:30:46;price:149.781;killTime:4.90888;profit loss for trades:-120.175
INFO: GapDown;new trade; tradeCount:11;tradeId:892;timeStamp:2024-02-13 13:31:54;t_cur:9.384;h_cur:0.1375;h1:0.0115;price:149.874;takeProfit:149.929;stopLoss:149.862;killTime:6.5688
takeProfit change:0.001425;killTime change:0.138932
takeProfit change:0.001225;killTime change:0.119433
takeProfit change:0.00085;killTime change:0.0828717
takeProfit change:0.001275;killTime change:0.124308
takeProfit change:0.001175;killTime change:0.114558
takeProfit change:0.0014;killTime change:0.136495
takeProfit change:0.0016;killTime change:0.155994
takeProfit change:0.00185;killTime change:0.180368
takeProfit change:0.00175;killTime change:0.170618
takeProfit change:0.001525;killTime change:0.148682
takeProfit change:0.00135;killTime change:0.13162
takeProfit change:0.000575;killTime change:0.0560603
takeProfit change:0.000575;killTime change:0.0560603
INFO: GapDown;TAKEPROFIT;tradeId:893;parenttradeId:892;timeStamp:2024-02-13 13:31:55;price:149.946;killTime:8.1848;profit loss for trades:486.84
INFO: GapDown;new trade; tradeCount:12;tradeId:894;timeStamp:2024-02-13 14:00:43;t_cur:3.222;h_cur:0.1355;h1:0.032;price:150.448;takeProfit:150.482;stopLoss:150.416;killTime:2.2554
takeProfit change:0.0017;killTime change:0.057748
takeProfit change:0.002525;killTime change:0.0857728
takeProfit change:0.0016;killTime change:0.0543511
takeProfit change:0.0013;killTime change:0.0441603
takeProfit change:0.00095;killTime change:0.032271
takeProfit change:0.001925;killTime change:0.0653911
takeProfit change:0.00255;killTime change:0.086622
takeProfit change:0.001175;killTime change:0.0399141
takeProfit change:0.0006;killTime change:0.0203817
INFO: GapDown;TAKEPROFIT;tradeId:895;parenttradeId:894;timeStamp:2024-02-13 14:00:44;price:150.498;killTime:2.74201;profit loss for trades:335.553
INFO: GapDown;new trade; tradeCount:13;tradeId:896;timeStamp:2024-02-13 14:26:55;t_cur:257.159;h_cur:0.1145;h1:0.0185;price:150.348;takeProfit:150.386;stopLoss:150.329;killTime:180.011
takeProfit change:0.00095;killTime change:3.04805
takeProfit change:0.001175;killTime change:3.76995
takeProfit change:0.00115;killTime change:3.68974
