stopLoss change:0.000375;killTime change:-3.71369
stopLoss change:0.0003375;killTime change:-3.34232
stopLoss change:0.00039375;killTime change:-3.89937
stopLoss change:0.00045;killTime change:-4.45643
stopLoss change:0.00043125;killTime change:-4.27074
takeProfit change:0.00105;killTime change:10.3983
takeProfit change:0.0022125;killTime change:21.9108
takeProfit change:0.00178125;killTime change:17.64
takeProfit change:0.0015;killTime change:14.8548
takeProfit change:0.0004875;killTime change:4.82779
stopLoss change:0.0003375;killTime change:-3.34232
takeProfit change:0.0003375;killTime change:3.34232
takeProfit change:0.00046875;killTime change:4.64211
takeProfit change:0.0007125;killTime change:7.05601
takeProfit change:0.00061875;killTime change:6.12759
takeProfit change:0.00058125;killTime change:5.75622
stopLoss change:0.00031875;killTime change:-3.15664
stopLoss change:0.000525;killTime change:-5.19916
stopLoss change:0.00076875;killTime change:-7.61306
stopLoss change:0.00061875;killTime change:-6.12759
stopLoss change:0.00103125;killTime change:-10.2126
stopLoss change:0.00105;killTime change:-10.3983
stopLoss change:0.0013125;killTime change:-12.9979
stopLoss change:0.00118125;killTime change:-11.6981
stopLoss change:0.00076875;killTime change:-7.61306
stopLoss change:0.0004875;killTime change:-4.82779
stopLoss change:0.00045;killTime change:-4.45643
INFO: GapDown;STOPLOSS;tradeId:745;parenttradeId:744;timeStamp:2024-02-05 22:25:57;price:148.708;killTime:938.994;profit loss for trades:-67.2459
INFO: GapDown;new trade; tradeCount:5;tradeId:746;timeStamp:2024-02-07 14:44:22;t_cur:333.283;h_cur:0.219;h1:0.0165;price:147.879:147.874;takeProfit:148.002;stopLoss:147.862;killTime:266.626
takeProfit change:0.00045;killTime change:0.856035
stopLoss change:0.000375;killTime change:-0.713363
INFO: GapDown;STOPLOSS;tradeId:747;parenttradeId:746;timeStamp:2024-02-07 14:44:31;price:147.86;killTime:266.769;profit loss for trades:-125.118
INFO: GapDown;new trade; tradeCount:6;tradeId:748;timeStamp:2024-02-07 15:34:45;t_cur:195.973;h_cur:0.1135;h1:0.027;price:147.918:147.914;takeProfit:147.964;stopLoss:147.892;killTime:156.778
takeProfit change:0.0025125;killTime change:5.42271
takeProfit change:0.0022875;killTime change:4.9371
takeProfit change:0.0025875;killTime change:5.58458
takeProfit change:0.00196875;killTime change:4.24914
takeProfit change:0.000675;killTime change:1.45685
takeProfit change:0.00080625;killTime change:1.74012
stopLoss change:0.0003375;killTime change:-0.728424
stopLoss change:0.00031875;killTime change:-0.687956
stopLoss change:0.0003375;killTime change:-0.728424
takeProfit change:0.0003;killTime change:0.647488
takeProfit change:0.00035625;killTime change:0.768892
stopLoss change:0.0003;killTime change:-0.647488
stopLoss change:0.0003375;killTime change:-0.728424
takeProfit change:0.0003;killTime change:0.647488
INFO: GapDown;TAKEPROFIT;tradeId:749;parenttradeId:748;timeStamp:2024-02-07 15:34:51;price:147.979;killTime:178.712;profit loss for trades:408.842
INFO: GapDown;new trade; tradeCount:7;tradeId:750;timeStamp:2024-02-08 10:36:50;t_cur:174.569;h_cur:0.107;h1:0.008;price:148.874:148.869;takeProfit:148.934;stopLoss:148.865;killTime:139.655
takeProfit change:0.00099375;killTime change:2.02661
takeProfit change:0.0006375;killTime change:1.30009
takeProfit change:0.00039375;killTime change:0.802997
takeProfit change:0.000525;killTime change:1.07066
takeProfit change:0.00054375;killTime change:1.1089
takeProfit change:0.00046875;killTime change:0.955949
takeProfit change:0.0003;killTime change:0.611807
takeProfit change:0.00061875;killTime change:1.26185
takeProfit change:0.0004875;killTime change:0.994187
takeProfit change:0.00046875;killTime change:0.955949
takeProfit change:0.0004875;killTime change:0.994187
takeProfit change:0.00050625;killTime change:1.03242
takeProfit change:0.0004875;killTime change:0.994187
takeProfit change:0.00045;killTime change:0.917711
takeProfit change:0.00035625;killTime change:0.726521
takeProfit change:0.0003375;killTime change:0.688283
stopLoss change:0.00054375;killTime change:-1.1089
stopLoss change:0.0007125;killTime change:-1.45304
stopLoss change:0.0007125;killTime change:-1.45304
stopLoss change:0.000675;killTime change:-1.37657
stopLoss change:0.00039375;killTime change:-0.802997
takeProfit change:0.00031875;killTime change:0.650045
takeProfit change:0.0004875;killTime change:0.994187
takeProfit change:0.00058125;killTime change:1.18538
takeProfit change:0.000675;killTime change:1.37657
takeProfit change:0.00035625;killTime change:0.726521
takeProfit change:0.0003;killTime change:0.611807
takeProfit change:0.0003;killTime change:0.611807
stopLoss change:0.0003375;killTime change:-0.688283
stopLoss change:0.0004125;killTime change:-0.841235
stopLoss change:0.00031875;killTime change:-0.650045
takeProfit change:0.00045;killTime change:0.917711
takeProfit change:0.00058125;killTime change:1.18538
takeProfit change:0.00046875;killTime change:0.955949
stopLoss change:0.00031875;killTime change:-0.650045
stopLoss change:0.00043125;killTime change:-0.879473
stopLoss change:0.00043125;killTime change:-0.879473
stopLoss change:0.0003;killTime change:-0.611807
takeProfit change:0.0004125;killTime change:0.841235
takeProfit change:0.00045;killTime change:0.917711
takeProfit change:0.00045;killTime change:0.917711
stopLoss change:0.0003;killTime change:-0.611807
stopLoss change:0.00031875;killTime change:-0.650045
takeProfit change:0.0004125;killTime change:0.841235
takeProfit change:0.00054375;killTime change:1.1089
takeProfit change:0.0006375;killTime change:1.30009
takeProfit change:0.000375;killTime change:0.764759
takeProfit change:0.00031875;killTime change:0.650045
stopLoss change:0.00031875;killTime change:-0.650045
stopLoss change:0.00031875;killTime change:-0.650045
stopLoss change:0.00046875;killTime change:-0.955949
stopLoss change:0.0004125;killTime change:-0.841235
takeProfit change:0.000375;killTime change:0.764759
takeProfit change:0.00031875;killTime change:0.650045
stopLoss change:0.0004125;killTime change:-0.841235
takeProfit change:0.0003;killTime change:0.611807
stopLoss change:0.0003;killTime change:-0.611807
takeProfit change:0.0003;killTime change:0.611807
stopLoss change:0.00045;killTime change:-0.917711
stopLoss change:0.0006375;killTime change:-1.30009
stopLoss change:0.00073125;killTime change:-1.49128
stopLoss change:0.00069375;killTime change:-1.4148
stopLoss change:0.00031875;killTime change:-0.650045
takeProfit change:0.0003375;killTime change:0.688283
takeProfit change:0.0004125;killTime change:0.841235
takeProfit change:0.00045;killTime change:0.917711
takeProfit change:0.00050625;killTime change:1.03242
takeProfit change:0.0004125;killTime change:0.841235
takeProfit change:0.00031875;killTime change:0.650045
stopLoss change:0.0003375;killTime change:-0.688283
INFO: GapDown;KILL;tradeId:751;parenttradeId:750;timeStamp:2024-02-08 10:39:26;price:148.915;killTime:156.595;profit loss for trades:278.682
INFO: GapDown;new trade; tradeCount:8;tradeId:752;timeStamp:2024-02-08 13:19:10;t_cur:1424.13;h_cur:0.119;h1:0.018;price:149.182:149.178;takeProfit:149.24;stopLoss:149.163;killTime:900
takeProfit change:0.000675;killTime change:7.97663
takeProfit change:0.00073125;killTime change:8.64135
takeProfit change:0.0007125;killTime change:8.41977
takeProfit change:0.00039375;killTime change:4.65303
takeProfit change:0.00039375;killTime change:4.65303
takeProfit change:0.00045;killTime change:5.31775
takeProfit change:0.0003;killTime change:3.54517
stopLoss change:0.0003;killTime change:-3.54517
takeProfit change:0.0003;killTime change:3.54517
takeProfit change:0.0004125;killTime change:4.87461
takeProfit change:0.00035625;killTime change:4.20989
takeProfit change:0.00035625;killTime change:4.20989
takeProfit change:0.000375;killTime change:4.43146
stopLoss change:0.00035625;killTime change:-4.20989
stopLoss change:0.00046875;killTime change:-5.53933
stopLoss change:0.0004875;killTime change:-5.7609
stopLoss change:0.00045;killTime change:-5.31775
stopLoss change:0.00035625;killTime change:-4.20989
stopLoss change:0.000375;killTime change:-4.43146
stopLoss change:0.0003;killTime change:-3.54517
stopLoss change:0.00031875;killTime change:-3.76674
stopLoss change:0.000375;killTime change:-4.43146
stopLoss change:0.0004875;killTime change:-5.7609
stopLoss change:0.00031875;killTime change:-3.76674
stopLoss change:0.0003;killTime change:-3.54517
stopLoss change:0.0003375;killTime change:-3.98831
stopLoss change:0.00031875;killTime change:-3.76674
stopLoss change:0.000375;killTime change:-4.43146
INFO: GapDown;STOPLOSS;tradeId:753;parenttradeId:752;timeStamp:2024-02-08 13:20:53;price:149.168;killTime:894.461;profit loss for trades:-87.1498
INFO: GapDown;new trade; tradeCount:9;tradeId:754;timeStamp:2024-02-08 22:43:00;t_cur:8353.41;h_cur:0.114;h1:0.0135;price:149.292:149.288;takeProfit:149.351;stopLoss:149.279;killTime:900
takeProfit change:0.00058125;killTime change:7.17002
takeProfit change:0.00046875;killTime change:5.78228
takeProfit change:0.00046875;killTime change:5.78228
takeProfit change:0.000375;killTime change:4.62582
stopLoss change:0.00035625;killTime change:-4.39453
stopLoss change:0.0009375;killTime change:-11.5646
INFO: GapDown;STOPLOSS;tradeId:755;parenttradeId:754;timeStamp:2024-02-08 22:45:11;price:149.27;killTime:907.401;profit loss for trades:-147.384
INFO: GapDown;new trade; tradeCount:10;tradeId:756;timeStamp:2024-02-09 14:20:38;t_cur:1010.09;h_cur:0.1125;h1:0.0085;price:149.31:149.305;takeProfit:149.373;stopLoss:149.301;killTime:808.069
takeProfit change:0.00039375;killTime change:4.41913
INFO: GapDown;STOPLOSS;tradeId:757;parenttradeId:756;timeStamp:2024-02-09 14:20:41;price:149.3;killTime:812.488;profit loss for trades:-60.2811
INFO: GapDown;new trade; tradeCount:11;tradeId:758;timeStamp:2024-02-11 23:02:19;t_cur:138.619;h_cur:0.1995;h1:0.02;price:149.118:149.114;takeProfit:149.226;stopLoss:149.098;killTime:110.895
takeProfit change:0.0010125;killTime change:0.879397
takeProfit change:0.0007875;killTime change:0.683975
takeProfit change:0.000525;killTime change:0.455984
takeProfit change:0.00039375;killTime change:0.341988
takeProfit change:0.0004125;killTime change:0.358273
takeProfit change:0.0008625;killTime change:0.749116
takeProfit change:0.00099375;killTime change:0.863112
takeProfit change:0.0011625;killTime change:1.00968
takeProfit change:0.000825;killTime change:0.716546
stopLoss change:0.00039375;killTime change:-0.341988
stopLoss change:0.000525;killTime change:-0.455984
stopLoss change:0.0003375;killTime change:-0.293132
takeProfit change:0.00035625;killTime change:0.309417
takeProfit change:0.00035625;killTime change:0.309417
stopLoss change:0.00091875;killTime change:-0.797971
stopLoss change:0.00114375;killTime change:-0.993393
stopLoss change:0.00118125;killTime change:-1.02596
stopLoss change:0.001125;killTime change:-0.977108
stopLoss change:0.000375;killTime change:-0.325703
INFO: GapDown;KILL;tradeId:759;parenttradeId:758;timeStamp:2024-02-11 23:04:12;price:149.153;killTime:112.361;profit loss for trades:238.01
INFO: GapDown;new trade; tradeCount:12;tradeId:760;timeStamp:2024-02-13 13:30:46;t_cur:6.772;h_cur:0.1335;h1:0.011;price:149.8:149.796;takeProfit:149.874;stopLoss:149.788;killTime:5.4176
takeProfit change:0.00095625;killTime change:0.0606341
takeProfit change:0.0007875;killTime change:0.049934
INFO: GapDown;STOPLOSS;tradeId:761;parenttradeId:760;timeStamp:2024-02-13 13:30:46;price:149.781;killTime:5.52817;profit loss for trades:-120.175
INFO: GapDown;new trade; tradeCount:13;tradeId:762;timeStamp:2024-02-13 13:31:54;t_cur:9.384;h_cur:0.1375;h1:0.0095;price:149.872:149.868;takeProfit:149.95;stopLoss:149.862;killTime:7.5072
takeProfit change:0.00088125;killTime change:0.0751786
takeProfit change:0.00106875;killTime change:0.0911741
takeProfit change:0.00091875;killTime change:0.0783777
takeProfit change:0.0006375;killTime change:0.0543845
takeProfit change:0.00095625;killTime change:0.0815768
takeProfit change:0.00088125;killTime change:0.0751786
takeProfit change:0.00105;killTime change:0.0895745
takeProfit change:0.0012;killTime change:0.102371
takeProfit change:0.0013875;killTime change:0.118366
takeProfit change:0.0013125;killTime change:0.111968
takeProfit change:0.00114375;killTime change:0.0975723
takeProfit change:0.0010125;killTime change:0.0863755
takeProfit change:0.00043125;killTime change:0.0367895
takeProfit change:0.00043125;killTime change:0.0367895
takeProfit change:0.0006375;killTime change:0.0543845
takeProfit change:0.00065625;killTime change:0.0559841
takeProfit change:0.0007875;killTime change:0.0671809
INFO: GapDown;TAKEPROFIT;tradeId:763;parenttradeId:762;timeStamp:2024-02-13 13:31:55;price:149.967;killTime:8.82043;profit loss for trades:640.139
INFO: GapDown;new trade; tradeCount:14;tradeId:764;timeStamp:2024-02-13 14:00:43;t_cur:3.222;h_cur:0.1355;h1:0.032;price:150.448:150.444;takeProfit:150.502;stopLoss:150.416;killTime:2.5776
takeProfit change:0.001275;killTime change:0.0378971
takeProfit change:0.00189375;killTime change:0.0562884
takeProfit change:0.0012;killTime change:0.0356679
takeProfit change:0.000975;killTime change:0.0289802
takeProfit change:0.0007125;killTime change:0.0211778
takeProfit change:0.00144375;killTime change:0.0429129
takeProfit change:0.0019125;killTime change:0.0568457
takeProfit change:0.00088125;killTime change:0.0261936
takeProfit change:0.00045;killTime change:0.0133755
stopLoss change:0.0003;killTime change:-0.00891697
stopLoss change:0.00073125;killTime change:-0.0217351
stopLoss change:0.00050625;killTime change:-0.0150474
stopLoss change:0.00031875;killTime change:-0.00947429
stopLoss change:0.0004875;killTime change:-0.0144901
stopLoss change:0.00075;killTime change:-0.0222924
stopLoss change:0.00103125;killTime change:-0.0306521
stopLoss change:0.0005625;killTime change:-0.0167193
stopLoss change:0.00045;killTime change:-0.0133755
stopLoss change:0.0003;killTime change:-0.00891697
INFO: GapDown;KILL;tradeId:765;parenttradeId:764;timeStamp:2024-02-13 14:00:46;price:150.457;killTime:2.73532;profit loss for trades:66.464
INFO: GapDown;new trade; tradeCount:15;tradeId:766;timeStamp:2024-02-13 14:26:55;t_cur:257.159;h_cur:0.1145;h1:0.0185;price:150.348:150.344;takeProfit:150.403;stopLoss:150.329;killTime:205.727
takeProfit change:0.0007125;killTime change:2.00028
takeProfit change:0.00088125;killTime change:2.47403
takeProfit change:0.0008625;killTime change:2.42139
stopLoss change:0.00043125;killTime change:-1.2107
stopLoss change:0.0004125;killTime change:-1.15806
takeProfit change:0.0003;killTime change:0.842224
stopLoss change:0.0003375;killTime change:-0.947502
stopLoss change:0.00043125;killTime change:-1.2107
stopLoss change:0.0003;killTime change:-0.842224
takeProfit change:0.00035625;killTime change:1.00014
takeProfit change:0.00031875;killTime change:0.894863
stopLoss change:0.000375;killTime change:-1.05278
stopLoss change:0.00039375;killTime change:-1.10542
takeProfit change:0.00035625;killTime change:1.00014
takeProfit change:0.000375;killTime change:1.05278
takeProfit change:0.00035625;killTime change:1.00014
takeProfit change:0.0003375;killTime change:0.947502
takeProfit change:0.00043125;killTime change:1.2107
takeProfit change:0.00031875;killTime change:0.894863
takeProfit change:0.00035625;killTime change:1.00014
stopLoss change:0.00043125;killTime change:-1.2107
stopLoss change:0.0004875;killTime change:-1.36861
stopLoss change:0.00050625;killTime change:-1.42125
stopLoss change:0.00039375;killTime change:-1.10542
stopLoss change:0.0003;killTime change:-0.842224
stopLoss change:0.0003;killTime change:-0.842224
takeProfit change:0.00035625;killTime change:1.00014
takeProfit change:0.0003;killTime change:0.842224
takeProfit change:0.00031875;killTime change:0.894863
takeProfit change:0.0003;killTime change:0.842224
takeProfit change:0.00039375;killTime change:1.10542
takeProfit change:0.00045;killTime change:1.26334
takeProfit change:0.00035625;killTime change:1.00014
takeProfit change:0.000375;killTime change:1.05278
stopLoss change:0.0003;killTime change:-0.842224
stopLoss change:0.0003375;killTime change:-0.947502
stopLoss change:0.0003375;killTime change:-0.947502
stopLoss change:0.0003375;killTime change:-0.947502
stopLoss change:0.00035625;killTime change:-1.00014
stopLoss change:0.00035625;killTime change:-1.00014
stopLoss change:0.00043125;killTime change:-1.2107
stopLoss change:0.00058125;killTime change:-1.63181
stopLoss change:0.0004875;killTime change:-1.36861
takeProfit change:0.00050625;killTime change:1.42125
takeProfit change:0.00046875;killTime change:1.31597
takeProfit change:0.00058125;killTime change:1.63181
takeProfit change:0.00046875;killTime change:1.31597
takeProfit change:0.00046875;killTime change:1.31597
takeProfit change:0.00031875;killTime change:0.894863
stopLoss change:0.0003375;killTime change:-0.947502
stopLoss change:0.000375;killTime change:-1.05278
stopLoss change:0.00043125;killTime change:-1.2107
takeProfit change:0.00031875;killTime change:0.894863
takeProfit change:0.00035625;killTime change:1.00014
takeProfit change:0.0003375;killTime change:0.947502
takeProfit change:0.0003;killTime change:0.842224
takeProfit change:0.0003;killTime change:0.842224
takeProfit change:0.0004125;killTime change:1.15806
takeProfit change:0.0004875;killTime change:1.36861
takeProfit change:0.00054375;killTime change:1.52653
takeProfit change:0.00050625;killTime change:1.42125
takeProfit change:0.00039375;killTime change:1.10542
takeProfit change:0.0003375;killTime change:0.947502
takeProfit change:0.000375;killTime change:1.05278
stopLoss change:0.00035625;killTime change:-1.00014
stopLoss change:0.00031875;killTime change:-0.894863
stopLoss change:0.00031875;killTime change:-0.894863
stopLoss change:0.00045;killTime change:-1.26334
stopLoss change:0.00046875;killTime change:-1.31597
stopLoss change:0.0003;killTime change:-0.842224
stopLoss change:0.00031875;killTime change:-0.894863
stopLoss change:0.00031875;killTime change:-0.894863
INFO: GapDown;KILL;tradeId:767;parenttradeId:766;timeStamp:2024-02-13 14:30:31;price:150.38;killTime:216.044;profit loss for trades:216.118
INFO: GapDown;new trade; tradeCount:16;tradeId:768;timeStamp:2024-02-13 22:58:47;t_cur:153.182;h_cur:0.1655;h1:0.014;price:150.616:150.612;takeProfit:150.708;stopLoss:150.602;killTime:122.546
takeProfit change:0.000525;killTime change:0.607406
takeProfit change:0.00075;killTime change:0.867723
takeProfit change:0.000825;killTime change:0.954495
takeProfit change:0.0009375;killTime change:1.08465
takeProfit change:0.0006375;killTime change:0.737564
stopLoss change:0.0003375;killTime change:-0.390475
stopLoss change:0.00046875;killTime change:-0.542327
stopLoss change:0.0003;killTime change:-0.347089
takeProfit change:0.00058125;killTime change:0.672485
takeProfit change:0.0006;killTime change:0.694178
takeProfit change:0.00043125;killTime change:0.498941
takeProfit change:0.00045;killTime change:0.520634
stopLoss change:0.000375;killTime change:-0.433861
takeProfit change:0.00031875;killTime change:0.368782
stopLoss change:0.0004125;killTime change:-0.477248
stopLoss change:0.00031875;killTime change:-0.368782
stopLoss change:0.0012375;killTime change:-1.43174
INFO: GapDown;STOPLOSS;tradeId:769;parenttradeId:768;timeStamp:2024-02-13 22:59:09;price:150.604;killTime:125.561;profit loss for trades:-79.6792
INFO: GapDown;new trade; tradeCount:17;tradeId:770;timeStamp:2024-02-13 23:48:18;t_cur:461.923;h_cur:0.104;h1:0.0165;price:150.678:150.673;takeProfit:150.728;stopLoss:150.661;killTime:369.538
takeProfit change:0.0010125;killTime change:5.62136
takeProfit change:0.000975;killTime change:5.41316
takeProfit change:0.00095625;killTime change:5.30906
takeProfit change:0.00035625;killTime change:1.97789
takeProfit change:0.00031875;killTime change:1.76969
takeProfit change:0.00035625;killTime change:1.97789
stopLoss change:0.00043125;killTime change:-2.39428
stopLoss change:0.00058125;killTime change:-3.22708
stopLoss change:0.0006375;killTime change:-3.53937
stopLoss change:0.00039375;killTime change:-2.18608
